topic,summary of points,"what facts, if any?","what anecdotes, if any?",anecdote quote,original transcript
They are talking about the OxyContin launch team memo.,They are summarizing their points.,The facts are that OxyContin was launched in January of 96.,They are not supporting their point with anecdotes.,N/A,"Okay. And here is, um, P D D 9 5 2 4 7 0 6 4 2 6 OxyContin launch team memo dated 3 31 95. And OxyContin was actually launched in January of 96. Is that correct?"
The topic the person is talking about is whether or not the person had any significant problems with OxyContin CR.,The person's points are that they are not sure if the person had any significant problems and that they experienced problems with OxyContin CR.,The facts are that the person is not sure if the person had any significant problems and that they experienced problems with OxyContin CR.,The person does not support their point with anecdotes.,N/A,"And what this says, if you will turn to page three, first of all, let me ask you this. Do you recall having any significant problem with Ms. Cotton, uh, with respect to a addiction abuse, diversion, or any of the problems that you experienced with OxyContin CR"
They are talking about the importance of establishing OxyContin.,They think that AB rated generics will arrive eventually and that it is important to establish OxyContin now.,They do not quote any facts specifically.,They do not support their point with anecdotes.,They do not quote any anecdotes specifically.,"All right. So let's look at, uh, page two, the last paragraph, it says our meeting ended with a question and comment period. Michael Friedman emphasized the threat that AB rated generics posed to Ms. Cotton. We're not sure when AB rated generics will be launched, but we don't think it will be until 1996, inevitably AB rated generics will arrive. And this is why it is of extreme, timely importance that we must establish OxyContin. OxyContin can cure the vulnerability of the AB rated generic threat. And that is why it is so crucial that we devote our fullest efforts now to a successful launch of OxyContin. Um, did I read that correctly?"
Lydia Johnson,They do not mention any points.,N/A,N/A,N/A,And who is Lydia Johnson?
The topic is the marketing department.,They are confused about which department this is.,N/A,N/A,N/A,"Uh, this department, it looks like it's the marketing department. Is that right?"
The topic is the person's belief.,They think that the person's belief is not important and that the person is wrong.,N/A,N/A,N/A,"Was it your belief that it was of extreme, timely importance that OxyContin be established because AB generics were going to arrive and compete with Ms. Cotton?"
N/A,summarizes points made in previous exhibits,previous exhibits are being referenced,N/A,N/A,Let's mark this as exhibit four.
no,cannot summarize points,no,no,no,I'm
The topic is counting out change.,They are summarizing their points.,The facts are that they are counting out the change.,They do not support their point with anecdotes.,N/A,"Then this would be, be five,"
The topic is apologizing.,The person's points are that they are sorry.,The facts are that the person is sorry.,The person does not support their point with an anecdote.,The person does not quote an anecdote.,I'm sorry.
n/a,does not state a clear opinion,n/a,n/a,n/a,Yeah. Okay.
topic is not clear,points are that this has not been marked as an exhibit,N/A,N/A,N/A,I don't think this has been marked as an exhibit.
N/A,They do not mention any points.,N/A,N/A,N/A,Yeah. This has not been marked as an exhibit.
no,cannot summarize points,no,no,no,Five. I'll
,They think that the sale of OxyContin has generated a lot of money.,They do not support their point with anecdotes.,They do not quote any anecdotes.,They make the claim that the sale of OxyContin has generated a lot of money.,Sackler. Do you know how much money to date has been generated by the sale of OxyContin?
The topic is how much money Purdue Frederick or Purdue Pharma has made off the sale of OxyContin.,The person's points are that they are unsure how much money has been made and that they would like to know.,N/A,N/A,N/A,How much money has Purdue Frederick or Purdue Pharma made off the sale of OxyContin?
